1x	2x	3x	4x	Hi	Lo	Spike	Zero	
0.0174528930321656	0.000720721801384666	2.33411214875363e-05	1.66833444500019e-06	1.01496772910105e-06	0.0534707437783458	8.63616855509444e-78	0.5	
0.0174528930321656	0.000720721801384666	2.33411214875363e-05	1.66833444500019e-06	1.01496772910105e-06	0.0534707437783458	1.72723371101889e-77	0.25	
0.0271875528861907	0.00128983545684699	5.10170226799009e-05	2.00200133400022e-06	1.01496772910105e-06	0.0696576862938122	3.45446742203778e-77	0.125	
0.0299223315653592	0.00204121209213244	9.13638183940708e-05	4.33766955700048e-06	1.01496772910105e-06	0.0819873316715459	6.90893484407556e-77	0.0625	
0.0330117852937682	0.00297018684121263	0.000155718624781135	7.00700466900078e-06	1.01496772910105e-06	0.0921366223808893	1.38178696881511e-76	0.03125	
0.0368483971208308	0.00409441955405214	0.000262754339031123	1.13446742260013e-05	1.01496772910105e-06	0.0975861912188835	2.76357393763022e-76	0.015625	
0.0402133091362132	0.00545422800132482	0.000401467289585625	1.7684345117002e-05	1.01496772910105e-06	0.0974399117579035	5.52714787526044e-76	0.0078125	
0.0436808428663505	0.00695231640586734	0.000600867156007721	3.67033577900041e-05	1.01496772910105e-06	0.0915488688710059	1.10542957505209e-75	0.00390625	
0.0463904162120705	0.00858968438182861	0.000851284045109718	5.67233711300063e-05	1.01496772910105e-06	0.0810572710446396	2.21085915010418e-75	0.001953125	
0.0484716566025371	0.0104959485638544	0.00116205440548663	8.94227262520099e-05	1.01496772910105e-06	0.0683744464277831	4.42171830020836e-75	0.0009765625	
0.0500703948955599	0.0126667772906325	0.00152184112098737	0.000127460751598014	1.01496772910105e-06	0.0548946623151822	8.84343660041671e-75	0.00048828125	
0.0507941480417256	0.0148952504333327	0.00197832676836504	0.00018118112072702	1.01496772910105e-06	0.0423811792364871	1.76868732008334e-74	0.000244140625	
0.0506987278508132	0.0170940683562811	0.00254384879754878	0.000245912497193027	1.01496772910105e-06	0.0312767890735832	3.53737464016668e-74	0.0001220703125	
0.0500325868953871	0.0194268345751873	0.00317105807637815	0.000337670891668037	1.01496772910105e-06	0.0222918038036613	7.07474928033337e-74	6.103515625e-05	
0.0484032421260339	0.0217319448026395	0.00390296895730876	0.00045011663326105	1.01496772910105e-06	0.0156262045817099	1.41494985606667e-73	3.0517578125e-05	
0.0462841937353944	0.0240797052337798	0.00471490654048234	0.000590256726641066	1.01496772910105e-06	0.010924505960888	2.82989971213335e-73	1.52587890625e-05	
0.0432379491500402	0.0260746018703447	0.00570056875644173	0.000749749499583083	1.01496772910105e-06	0.00768823761582928	5.6597994242667e-73	7.62939453125e-06	
0.0399432519921215	0.0281471352058106	0.00676258978412464	0.000971971647657108	1.01496772910105e-06	0.00533524682682291	1.13195988485334e-72	3.814697265625e-06	
0.0364289083570083	0.0300400711991838	0.00793664819494771	0.00124090716019114	1.01496772910105e-06	0.00368235480939852	2.26391976970668e-72	1.9073486328125e-06	
0.03292896776958	0.0318080554239397	0.00921574165246471	0.00154521136295917	1.01496772910105e-06	0.00265213887587529	4.52783953941336e-72	9.5367431640625e-07	
0.0295082439444186	0.0332641600342268	0.0104921675532403	0.00187620891684721	1.01496772910105e-06	0.00192766019412998	9.05567907882671e-72	4.76837158203125e-07	
0.0260047025950691	0.0342980942689455	0.0119196438544995	0.00224958216563825	1.01496772910105e-06	0.00146740702523584	1.81113581576534e-71	2.38418579101562e-07	
0.0226127848652775	0.0350787929192665	0.0132757630129253	0.0026953611293423	1.01496772910105e-06	0.00120021638817561	3.62227163153068e-71	1.19209289550781e-07	
0.0194135078982713	0.0356429085039841	0.0147385844410085	0.00322655881663036	1.01496772910105e-06	0.00105163071947751	7.24454326306137e-71	5.96046447753906e-08	
0.0166157158854814	0.0358654892544811	0.0161770644138261	0.00387187057995643	1.01496772910105e-06	0.000957405661278707	1.44890865261227e-70	2.98023223876953e-08	
0.0139439505399343	0.0358501618375307	0.0176402192865019	0.0044918236597185	1.01496772910105e-06	0.000845060399580138	2.89781730522455e-70	1.49011611938477e-08	
0.0117888945300826	0.0353430242593026	0.0191783991925306	0.00519619446239758	1.01496772910105e-06	0.000730408930163418	5.7956346104491e-70	7.45058059692383e-09	
0.00975266366363122	0.0346839453304358	0.0205812005939315	0.00594661129575866	1.01496772910105e-06	0.000617404751973949	1.15912692208982e-69	3.72529029846191e-09	
0.00812691965619925	0.0336653385126674	0.021910644184943	0.00681948387738276	1.01496772910105e-06	0.000541629355520369	2.31825384417964e-69	1.86264514923096e-09	
0.00678923660246508	0.0325157822413882	0.0231690640777139	0.00770603680145586	1.01496772910105e-06	0.000473102040466697	4.63650768835928e-69	9.31322574615479e-10	
0.00579002516932583	0.0311686355733354	0.0242981074685253	0.00865131509799296	1.01496772910105e-06	0.000452346171003326	9.27301537671855e-69	4.65661287307739e-10	
0.00497625297512954	0.0296892066329064	0.0253651301650984	0.00963997009010007	1.01496772910105e-06	0.000398315018749469	1.85460307534371e-68	2.3283064365387e-10	
0.00413187430460285	0.0280771622153849	0.0262470911127346	0.0106573204346612	1.01496772910105e-06	0.000354497072104573	3.70920615068742e-68	1.16415321826935e-10	
0.00336491201538246	0.0263971440357355	0.0271387219535585	0.0117303931496853	1.01496772910105e-06	0.000302113211077968	7.41841230137484e-68	5.82076609134674e-11	
0.00282119696527785	0.0246771412901287	0.027804277360546	0.0128561852331714	1.01496772910105e-06	0.000285969757050901	1.48368246027497e-67	2.91038304567337e-11	
